IntruderPresence,SheepPresence,Thunder,AlarmTriggered,FarmerWakeUp,OrangeSafety
False,True,False,False,False,1
False,False,True,False,False,1
False,False,False,False,True,1
False,False,False,False,False,1
False,True,False,True,True,1
False,False,True,False,True,1
False,False,False,False,False,1
False,True,False,True,True,1
False,True,False,True,True,1
False,False,False,False,False,1
False,True,False,True,False,1
False,False,False,False,False,1
False,False,False,False,False,1
True,False,False,True,False,0
False,True,False,True,False,1
False,False,False,False,False,1
False,False,True,True,True,1
False,False,False,False,False,1
False,True,True,True,True,1
False,False,False,False,False,1
False,False,False,False,False,1
False,True,False,False,False,1
False,True,False,False,False,1
False,False,False,False,False,1
True,False,False,True,True,1
False,False,False,False,False,1
False,False,False,False,False,1
False,True,True,True,True,1
False,False,True,True,True,1
False,False,True,False,False,1
False,False,False,False,False,1
False,False,False,False,False,1
False,False,False,False,False,1
False,True,False,True,True,1
False,False,False,False,False,1
True,True,False,True,True,1
False,False,False,False,False,1
False,True,False,True,False,1
False,True,False,True,True,1
False,False,False,False,False,1
False,True,False,True,False,1
False,False,False,False,False,1
False,False,False,False,False,1
False,False,False,False,True,1
False,False,False,False,False,1
False,False,False,False,False,1
True,False,False,True,True,1
False,False,False,False,False,1
False,False,False,False,False,1
False,False,False,False,False,1
False,True,False,True,True,1
False,False,False,False,False,1
False,False,False,False,False,1
False,False,True,True,False,1
False,False,False,False,False,1
False,False,False,False,False,1
False,False,False,False,True,1
False,False,True,True,False,1
False,True,True,True,False,1
True,False,False,True,False,0
False,True,False,True,True,1
False,False,False,False,False,1
False,False,False,False,False,1
False,False,False,False,False,1
False,False,False,False,False,1
False,False,False,False,False,1
False,False,False,False,True,1
False,False,True,True,True,1
False,False,False,False,False,1
False,True,False,True,False,1
False,False,False,False,False,1
False,False,False,False,False,1
False,False,False,False,False,1
False,True,False,True,True,1
False,False,False,False,False,1
False,True,True,True,True,1
False,True,False,False,False,1
False,True,False,True,False,1
False,False,False,False,True,1
True,False,False,True,False,0
False,False,False,False,False,1
False,False,False,False,False,1
False,False,False,False,False,1
False,True,False,False,False,1
False,True,True,True,True,1
False,False,False,False,False,1
False,True,True,True,True,1
False,False,False,False,False,1
False,False,False,False,False,1
False,False,True,False,False,1
False,False,False,False,False,1
False,True,False,True,False,1
False,False,False,False,False,1
False,False,False,False,False,1
False,False,False,False,False,1
False,False,False,False,False,1
False,True,False,True,False,1
False,False,False,False,False,1
False,False,False,False,False,1
False,True,False,True,True,1
False,False,False,False,False,1
False,False,False,False,False,1
False,True,False,True,False,1
False,True,False,True,True,1
False,False,False,False,False,1
False,False,False,False,False,1
False,False,False,False,False,1
False,True,True,False,False,1
False,False,False,False,False,1
False,False,False,False,False,1
False,True,False,True,True,1
False,False,False,False,False,1
False,True,False,True,False,1
False,False,False,False,True,1
False,False,False,False,False,1
False,False,False,False,False,1
False,True,False,True,True,1
False,False,False,False,False,1
True,False,False,True,True,1
False,False,False,False,False,1
False,False,False,False,False,1
True,True,False,True,True,1
False,True,False,False,False,1
False,True,False,True,True,1
False,False,False,False,False,1
False,False,False,False,False,1
False,False,False,False,False,1
False,False,False,False,False,1
False,False,False,False,False,1
False,False,False,False,False,1
False,False,False,False,True,1
False,False,False,False,False,1
False,True,False,True,True,1
False,False,False,False,False,1
False,False,False,False,False,1
False,False,False,False,False,1
False,True,False,False,False,1
False,False,False,False,False,1
False,False,False,False,False,1
False,False,True,False,False,1
False,True,False,True,True,1
False,False,False,False,False,1
False,False,False,False,False,1
False,False,True,False,False,1
False,False,False,False,False,1
False,False,False,False,False,1
False,False,False,False,False,1
False,False,False,False,False,1
False,False,False,False,False,1
False,True,False,True,True,1
False,False,False,False,False,1
False,False,False,False,False,1
False,False,False,False,False,1
False,True,True,True,True,1
False,False,False,False,False,1
False,False,False,False,False,1
False,False,False,False,False,1
True,False,False,True,True,1
False,False,False,False,False,1
False,False,False,False,False,1
False,False,False,False,True,1
False,True,False,False,False,1
False,False,False,False,False,1
False,True,False,True,False,1
False,False,True,True,True,1
False,True,True,True,True,1
False,False,False,False,False,1
False,False,False,False,False,1
False,False,False,False,True,1
False,True,False,True,True,1
False,False,False,False,False,1
False,True,False,True,True,1
False,True,False,True,True,1
False,False,True,True,False,1
False,False,False,False,False,1
False,False,False,False,False,1
False,True,False,False,False,1
False,False,True,False,False,1
True,True,False,True,True,1
False,True,False,True,True,1
False,True,True,True,True,1
True,False,False,False,True,1
False,False,True,True,True,1
False,False,True,True,True,1
False,False,False,False,False,1
False,False,False,False,True,1
False,False,False,False,False,1
False,False,False,False,False,1
False,False,False,False,False,1
False,False,False,False,False,1
False,False,False,False,True,1
False,False,False,False,False,1
True,True,False,True,False,0
False,False,False,False,False,1
False,False,False,False,False,1
False,False,False,False,False,1
False,False,False,False,False,1
False,False,True,True,True,1
True,False,False,True,True,1
False,False,False,False,False,1
True,False,False,True,True,1
False,False,False,False,False,1
False,False,False,False,False,1
False,False,False,False,False,1
False,False,False,False,False,1
False,False,False,False,False,1
False,False,False,False,False,1
False,False,True,False,False,1
False,False,False,False,False,1
False,True,False,True,False,1
False,False,False,False,True,1
False,True,False,True,True,1
False,False,False,False,False,1
True,True,False,True,True,1
False,False,False,False,False,1
False,True,False,True,False,1
False,False,False,False,False,1
False,False,True,False,False,1
False,True,False,False,False,1
False,False,True,True,True,1
False,True,False,True,True,1
False,True,False,True,True,1
True,False,True,True,True,1
False,False,True,True,False,1
False,True,False,True,True,1
False,True,False,True,True,1
False,True,False,True,True,1
False,False,False,False,False,1
False,False,False,False,False,1
False,False,False,False,False,1
False,False,False,False,False,1
False,False,False,False,False,1
False,False,False,False,False,1
False,False,False,False,False,1
False,False,True,False,False,1
False,True,True,True,True,1
False,True,False,True,True,1
False,True,False,True,True,1
False,False,False,False,False,1
False,False,False,False,False,1
False,False,False,False,False,1
False,True,False,True,True,1
False,False,False,False,False,1
True,False,False,True,True,1
False,True,False,True,True,1
False,False,False,False,False,1
False,False,False,False,False,1
False,False,False,False,False,1
False,False,False,False,False,1
False,True,False,True,True,1
False,False,False,False,False,1
False,False,False,False,False,1
False,False,False,False,False,1
False,False,True,True,False,1
False,False,True,True,True,1
False,False,False,False,False,1
False,False,False,False,False,1
False,False,False,True,True,1
False,True,False,False,False,1
False,True,False,True,True,1
False,False,False,False,False,1
False,False,True,False,False,1
False,False,False,False,False,1
True,False,False,True,True,1
False,False,False,False,False,1
False,False,False,False,False,1
False,False,False,False,False,1
False,False,False,False,False,1
False,False,False,False,False,1
False,False,False,False,True,1
False,True,False,False,False,1
False,False,False,True,False,1
False,False,False,False,False,1
False,False,False,False,False,1
False,False,False,False,False,1
False,True,False,True,True,1
True,False,False,True,False,0
False,True,False,True,True,1
False,True,False,True,True,1
False,False,False,False,False,1
False,True,False,False,False,1
False,False,False,False,False,1
False,False,True,True,True,1
False,False,True,False,False,1
False,True,False,False,False,1
False,False,True,True,True,1
False,False,False,False,False,1
False,False,True,True,True,1
False,False,True,True,False,1
False,False,False,False,True,1
True,False,False,False,False,0
